"Date","Price","Open","High","Low","Vol.","Change %"
"08/29/2025","870.80","873.51","878.00","870.51","7.90M","-0.31%"
"08/28/2025","873.51","855.50","880.98","851.32","8.29M","2.12%"
"08/27/2025","855.41","863.80","867.10","853.29","4.91M","-0.96%"
"08/26/2025","863.70","839.30","867.90","830.35","7.84M","2.92%"
"08/25/2025","839.20","876.50","880.70","833.69","13.76M","-4.25%"
"08/24/2025","876.50","880.50","886.60","860.00","10.86M","-0.47%"
"08/23/2025","880.60","900.20","900.20","875.90","9.90M","-2.14%"
"08/22/2025","899.81","839.30","900.49","839.20","11.91M","7.21%"
"08/21/2025","839.30","869.00","883.90","833.70","9.08M","-3.43%"
"08/20/2025","869.10","824.00","880.88","818.70","12.77M","5.50%"
"08/19/2025","823.81","846.60","851.80","823.10","7.23M","-2.69%"
"08/18/2025","846.60","855.20","858.50","825.30","9.83M","-0.99%"
"08/17/2025","855.11","838.60","863.79","838.20","5.44M","1.97%"
"08/16/2025","838.60","827.80","839.20","825.30","3.73M","1.29%"
"08/15/2025","827.90","840.49","853.50","812.90","7.32M","-1.49%"
"08/14/2025","840.40","848.00","869.29","821.97","20.68M","-0.90%"
"08/13/2025","848.00","832.50","858.90","828.40","17.26M","1.85%"
"08/12/2025","832.60","805.10","839.80","797.90","13.88M","3.42%"
"08/11/2025","805.10","806.90","827.20","792.60","20.84M","-0.22%"
"08/10/2025","806.90","798.80","815.40","793.70","12.18M","1.03%"
"08/09/2025","798.70","793.50","819.00","792.80","16.91M","0.67%"
"08/08/2025","793.40","788.90","798.30","781.10","31.97M","0.58%"
"08/07/2025","788.80","769.70","788.80","764.70","15.75M","2.48%"
"08/06/2025","769.70","755.01","774.90","746.50","9.53M","1.93%"
"08/05/2025","755.10","768.50","769.60","745.52","9.07M","-1.74%"
"08/04/2025","768.50","751.40","769.50","750.40","13.29M","2.28%"
"08/03/2025","751.40","736.70","755.30","730.20","9.17M","2.00%"
"08/02/2025","736.70","757.20","770.20","732.50","15.25M","-2.71%"
"08/01/2025","757.20","783.20","795.40","745.40","25.74M","-3.32%"
"07/31/2025","783.20","793.40","813.30","781.60","22.92M","-1.29%"
"07/30/2025","793.40","805.10","811.49","766.81","29.63M","-1.49%"
"07/29/2025","805.40","824.00","834.80","800.30","30.18M","-2.26%"